11-Q-R3-1	|	Q	|	R3-1	|	63.07024	|	15.00000	|	5.41092	|	85.42113	|	5.410921	|	5.410921	|	11
11-Q-R3-2	|	Q	|	R3-2	|	70.75243	|	20.00000	|	5.43139	|	93.10332	|	5.431394	|	5.431394	|	11
11-Q-R3-3	|	Q	|	R3-3	|	91.83448	|	30.00000	|	6.34337	|	108.46769	|	6.343369	|	6.343369	|	11
11-Q-R3-4	|	Q	|	R3-4	|	137.92761	|	60.00000	|	7.58524	|	154.56083	|	7.585237	|	7.585237	|	11
11-S-R1	|	S	|	R1	|	39.49882	|	4.00000	|	2.10450	|	68.52031	|	2.104503	|	2.104503	|	11
11-S-R2-1	|	S	|	R2-1	|	41.03525	|	5.00000	|	2.10450	|	70.05675	|	2.104503	|	2.104503	|	11
11-S-R2-2	|	S	|	R2-2	|	46.19875	|	6.50000	|	2.39106	|	72.36141	|	2.391063	|	2.391063	|	11
11-S-R2-3	|	S	|	R2-3	|	51.17751	|	8.50000	|	2.66112	|	75.43428	|	2.661121	|	2.661121	|	11
11-S-R3-1	|	S	|	R3-1	|	63.07024	|	15.00000	|	3.31337	|	85.42113	|	3.313368	|	3.313368	|	11
11-S-R3-2	|	S	|	R3-2	|	70.75243	|	20.00000	|	3.33384	|	93.10332	|	3.33384	|	3.33384	|	11
11-S-R3-3	|	S	|	R3-3	|	91.83448	|	30.00000	|	4.24582	|	108.46769	|	4.245816	|	4.245816	|	11
11-S-R3-4	|	S	|	R3-4	|	137.92761	|	60.00000	|	4.26093	|	154.56083	|	4.260931	|	4.260931	|	11
11-S-P1	|	S	|	P1	|	85.38809	|	25.00000	|	2.73514	|	106.15981	|	2.71534	|	2.69306	|	11
11-S-P2	|	S	|	P2	|	85.38809	|	60.00000	|	2.73514	|	106.15981	|	2.71534	|	2.69306	|	11
11-S-P3-1	|	S	|	P3-1	|	274.02885	|	150.00000	|	3.52480	|	292.84022	|	3.50500	|	3.48273	|	11
11-S-P3-2	|	S	|	P3-2	|	274.02885	|	150.00000	|	3.52480	|	292.84022	|	3.50500	|	3.48273	|	11
4-A-R1	|	A	|	R1	|	7.51404	|	4.00000	|	0.31262	|	11.71019	|	0.31262	|	0.31262	|	4
4-A-R2-1	|	A	|	R2-1	|	7.51404	|	5.00000	|	0.31262	|	11.71019	|	0.31262	|	0.31262	|	4
4-A-R2-2	|	A	|	R2-2	|	7.51404	|	6.50000	|	0.31262	|	11.71019	|	0.31262	|	0.31262	|	4
4-A-R2-3	|	A	|	R2-3	|	7.51404	|	8.50000	|	0.32992	|	11.71019	|	0.329918	|	0.329918	|	4
4-A-R3-1	|	A	|	R3-1	|	7.51404	|	15.00000	|	0.37091	|	11.71019	|	0.370909	|	0.370909	|	4
4-A-R3-2	|	A	|	R3-2	|	7.51404	|	20.00000	|	0.37091	|	11.71019	|	0.370909	|	0.370909	|	4
4-A-R3-3	|	A	|	R3-3	|	7.51404	|	30.00000	|	0.42133	|	11.71019	|	0.421334	|	0.421334	|	4
4-A-R3-4	|	A	|	R3-4	|	7.51404	|	60.00000	|	0.42133	|	11.71019	|	0.421334	|	0.421334	|	4
4-A-P1	|	A	|	P1	|	10.73434	|	25.00000	|	0.32161	|	11.71019	|	0.31396	|	0.30535	|	4
